pecha_id,start,end_exclusive
I0B81CD66,680,707
I0B81CD66,709,739
I0B81CD66,741,764
I0B81CD66,766,780
I0B81CD66,782,812
I0B81CD66,814,845
I0B81CD66,847,873
I0B81CD66,875,889
I0B81CD66,891,926
I0B81CD66,928,964
I0B81CD66,966,1001
I0B81CD66,1003,1042
I0B81CD66,1044,1064
I0B81CD66,1066,1130
I0B81CD66,1132,1147
I0B81CD66,1149,1161
I0B81CD66,1163,1174
I0B81CD66,1176,1191
I0B81CD66,1193,1219
I0B81CD66,1221,1240
I0B81CD66,1242,1271
I0B81CD66,1273,1295
I0B81CD66,1297,1316
I0B81CD66,1318,1351
I0B81CD66,1353,1383
I0B81CD66,1385,1420
I0B81CD66,1422,1442
I0B81CD66,1444,1474
I0B81CD66,1476,1510
I0B81CD66,1512,1543
I0B81CD66,1545,1564
I0B81CD66,1566,1590
I0B81CD66,1592,1626
I0B81CD66,1628,1658
I0B81CD66,1660,1678
I0B81CD66,1680,1704
I0B81CD66,1706,1740
I0B81CD66,1742,1750
I0B81CD66,1752,1759
I0B81CD66,1761,1789
I0B81CD66,1791,1805
I0B81CD66,1807,1827
I0B81CD66,1829,1893
I0B81CD66,1895,1910
I0B81CD66,1912,1924
I0B81CD66,1926,1937
I0B81CD66,1939,1961
I0B81CD66,1963,1994
I0B81CD66,1996,2016
I0B81CD66,2018,2040
I0B81CD66,2042,2071
I0B81CD66,2073,2098
I0B81CD66,2100,2130
I0B81CD66,2132,2152
I0B81CD66,2154,2193
I0B81CD66,2195,2221
I0B81CD66,2223,2248
I0B81CD66,2250,2276
I0B81CD66,2278,2307
I0B81CD66,2309,2336
I0B81CD66,2338,2357
I0B81CD66,2359,2373
I0B81CD66,2375,2395
I0B81CD66,2397,2454
I0B81CD66,2456,2471
I0B81CD66,2473,2485
I0B81CD66,2487,2498
I0B81CD66,2500,2522
I0B81CD66,2524,2559
I0B81CD66,2561,2598
I0B81CD66,2600,2621
I0B81CD66,2623,2646
I0B81CD66,2648,2670
I0B81CD66,2672,2708
I0B81CD66,2710,2741
I0B81CD66,2743,2779
I0B81CD66,2781,2806
I0B81CD66,2808,2822
I0B81CD66,2824,2844
I0B81CD66,2846,2909
I0B81CD66,2911,2926
I0B81CD66,2928,2940
I0B81CD66,2942,2953
I0B81CD66,2955,2985
I0B81CD66,2987,3009
I0B81CD66,3011,3043
I0B81CD66,3045,3075
I0B81CD66,3077,3124
I0B81CD66,3126,3168
I0B81CD66,3170,3192
I0B81CD66,3194,3233
I0B81CD66,3235,3276
I0B81CD66,3278,3322
I0B81CD66,3324,3352
I0B81CD66,3354,3381
I0B81CD66,3383,3397
I0B81CD66,3399,3430
I0B81CD66,3432,3470
I0B81CD66,3472,3523
I0B81CD66,3525,3540
I0B81CD66,3542,3557
I0B81CD66,3559,3570
I0B81CD66,3572,3610
I0B81CD66,3612,3639
I0B81CD66,3641,3661
I0B81CD66,3663,3676
I0B81CD66,3678,3717
I0B81CD66,3719,3746
I0B81CD66,3748,3776
I0B81CD66,3778,3810
I0B81CD66,3812,3841
I0B81CD66,3843,3865
I0B81CD66,3867,3880
I0B81CD66,3882,3900
I0B81CD66,3902,3916
I0B81CD66,3918,3934
I0B81CD66,3936,3964
I0B81CD66,3966,3993
I0B81CD66,3995,4020
I0B81CD66,4022,4044
I0B81CD66,4046,4059
I0B81CD66,4061,4081
I0B81CD66,4083,4127
I0B81CD66,4129,4144
I0B81CD66,4146,4158
I0B81CD66,4160,4171
I0B81CD66,4173,4190
I0B81CD66,4192,4208
I0B81CD66,4210,4231
I0B81CD66,4233,4256
I0B81CD66,4258,4281
I0B81CD66,4283,4331
I0B81CD66,4333,4377
I0B81CD66,4379,4398
I0B81CD66,4400,4426
I0B81CD66,4428,4460
I0B81CD66,4462,4472
I0B81CD66,4474,4484
I0B81CD66,4486,4497
I0B81CD66,4499,4509
I0B81CD66,4511,4521
I0B81CD66,4523,4541
I0B81CD66,4543,4556
I0B81CD66,4558,4578
I0B81CD66,4580,4644
I0B81CD66,4646,4661
I0B81CD66,4663,4675
I0B81CD66,4677,4688
I0B81CD66,4690,4733
I0B81CD66,4735,4746
I0B81CD66,4748,4768
I0B81CD66,4770,4793
I0B81CD66,4795,4830
I0B81CD66,4832,4866
I0B81CD66,4868,4886
I0B81CD66,4888,4920
I0B81CD66,4922,4961
I0B81CD66,4963,4986
I0B81CD66,4988,5012
I0B81CD66,5014,5038
I0B81CD66,5040,5063
I0B81CD66,5065,5103
I0B81CD66,5105,5149
I0B81CD66,5151,5185
I0B81CD66,5187,5200
I0B81CD66,5202,5229
I0B81CD66,5231,5257
I0B81CD66,5259,5285
I0B81CD66,5287,5320
I0B81CD66,5322,5349
I0B81CD66,5351,5369
I0B81CD66,5371,5388
I0B81CD66,5390,5408
I0B81CD66,5410,5424
I0B81CD66,5426,5446
I0B81CD66,5448,5496
I0B81CD66,5498,5545
I0B81CD66,5547,5567
I0B81CD66,5569,5601
I0B81CD66,5603,5644
I0B81CD66,5646,5673
I0B81CD66,5675,5704
I0B81CD66,5706,5731
I0B81CD66,5733,5758
I0B81CD66,5760,5789
I0B81CD66,5791,5814
I0B81CD66,5816,5835
I0B81CD66,5837,5862
I0B81CD66,5864,5910
I0B81CD66,5912,5956
I0B81CD66,5958,5967
I0B81CD66,5969,5986
I0B81CD66,5988,6014
I0B81CD66,6016,6034
I0B81CD66,6035,6066
I0B81CD66,7574,7677
I0B81CD66,8797,9011
I0B81CD66,13815,13863
I0B81CD66,15193,15414
I0B81CD66,16133,16266
I0B81CD66,16804,16923
I0B81CD66,17497,17529
I0B81CD66,20423,20457
I0B81CD66,22078,22157
I0B81CD66,22636,22867
I0B81CD66,24325,24380
I0B81CD66,24613,24658
I0B81CD66,27506,27546
I0B81CD66,27817,27837
I0B81CD66,28002,28226
I0B81CD66,31059,31094
I0B81CD66,32586,32691
I0B81CD66,33599,33801
I0B81CD66,34898,34926
I0B81CD66,36053,36078
I0B81CD66,37322,37345
I0B81CD66,38789,38812
I0B81CD66,39913,39947
I0B81CD66,44625,44975
I0B81CD66,45829,45879
I0B81CD66,46511,46631
I0B81CD66,52023,52051
I0B81CD66,52804,52927
I0B81CD66,54002,54136
I0B81CD66,54527,54567
I0B81CD66,60723,60836
I0B81CD66,62853,62883
I0B81CD66,64161,64357
I0B81CD66,64505,64520
I0B81CD66,66612,66630
I0B81CD66,66844,66881
I0B81CD66,69235,69265
I0B81CD66,70473,70721
I0B81CD66,71437,71620
I0B81CD66,71899,71943
I0B81CD66,72378,72423
I0B81CD66,72757,72800
I0B81CD66,73547,73591
I0B81CD66,75492,75512
I0B81CD66,76744,76847
I0B81CD66,77118,77268
I0B81CD66,77992,78162
I0B81CD66,78691,78707
I0B81CD66,80531,80622
I0B81CD66,81019,81089
I0B81CD66,84007,84034
I0B81CD66,85182,85391
I0B81CD66,85897,85913
I0B81CD66,86312,86425
I0B81CD66,86600,86924
I0B81CD66,87745,87777
I0B81CD66,88238,88269
I0B81CD66,88816,88842
I0B81CD66,89032,89116
I0B81CD66,89508,89614
I0B81CD66,90026,90054
I0B81CD66,90440,90468
I0B81CD66,90875,90895
I0B81CD66,91258,91461
I0B81CD66,92286,92366
I0B81CD66,92960,92978
I0B81CD66,93219,93258
I0B81CD66,94898,94940
I0B81CD66,95185,95492
I0B81CD66,96307,96346
I0B81CD66,97050,97072
I0B81CD66,97761,97923
I0B81CD66,99743,99787
I0B81CD66,100560,100923
I0B81CD66,101453,101488
I0B81CD66,101755,101785
I0B81CD66,102154,102188
I0B81CD66,102660,102694
I0B81CD66,102937,102962
I0B81CD66,104339,104363
I0B81CD66,108367,108470
I0B81CD66,110527,110543
I0B81CD66,117344,117454
I0B81CD66,117683,117702
I0B81CD66,118759,118841
I0B81CD66,119362,119400
I0B81CD66,119634,119658
I0B81CD66,120757,120778
I0B81CD66,121182,121202
I0B81CD66,122954,123106
I0B81CD66,123509,123810
I0B81CD66,124298,124335
I0B81CD66,125047,125085
I0B81CD66,125632,125659
I0B81CD66,126312,126340
I0B81CD66,127115,127149
I0B81CD66,127356,127388
I0B81CD66,127870,127907
I0B81CD66,129116,129144
I0B81CD66,129375,129608
I0B81CD66,129857,129891
I0B81CD66,130318,130353
I0B81CD66,130476,130513
I0B81CD66,130864,130898
I0B81CD66,132929,132955
I0B81CD66,133410,133431
I0B81CD66,133911,133931
I0B81CD66,134825,134999
I0B81CD66,136766,137051
I0B81CD66,142332,142378
I0B81CD66,147062,147092
I0B81CD66,147846,147876
I0B81CD66,148719,148901
I0B81CD66,150559,150599
I0B81CD66,151275,151320
I0B81CD66,154130,154161
I0B81CD66,157681,157702
I0B81CD66,158437,158457
I0B81CD66,159589,159692
I0B81CD66,160019,160394
I0B81CD66,160746,160787
I0B81CD66,161749,161788
I0B81CD66,171598,171834
I0B81CD66,174202,174233
I0B81CD66,174540,174829
I0B81CD66,175427,175456
I0B81CD66,175866,175891
I0B81CD66,176356,176396
I0B81CD66,177132,177167
I0B81CD66,179857,180003
I0B81CD66,180941,180981
I0B81CD66,182979,183026
I0B81CD66,183264,183385
I0B81CD66,184422,184446
I0B81CD66,188064,188233
I0B81CD66,191517,191553
I0B81CD66,193707,193736
I0B81CD66,197616,197637
I0B81CD66,197942,198241
I0B81CD66,199323,199364
I0B81CD66,200502,200629
I0B81CD66,201593,201743
I0B81CD66,202229,202259
I0B81CD66,202940,202973
I0B81CD66,203250,203278
I0B81CD66,205287,205305
I0B81CD66,205455,205515
I0B81CD66,205673,205830
I0B81CD66,208655,208800
I0B81CD66,208941,208975
I0B81CD66,210419,210449
I0B81CD66,210723,210754
I0B81CD66,211041,211149
I0B81CD66,211287,211317
I0B81CD66,212633,212665
I0B81CD66,213822,213850
I0B81CD66,215306,215326
I0B81CD66,217157,217177
I0B81CD66,218017,218119
I0B81CD66,220191,220383
I0B81CD66,223042,223072
I0B81CD66,226326,226358
I0B81CD66,230356,230635
I0B81CD66,231346,231483
I0B81CD66,232704,232739
I0B81CD66,233670,233711
I0B81CD66,235748,235845
I0B81CD66,238838,238991
I0B81CD66,243640,243683
I0B81CD66,245129,245159
I0B81CD66,245649,245674
I0B81CD66,248517,248596
I0B81CD66,249304,249342
I0B81CD66,250180,250267
I0B81CD66,253574,253832
I0B81CD66,254189,254223
I0B81CD66,256829,256863
I0B81CD66,258567,258672
I0B81CD66,261183,261267
I0B81CD66,263365,263393
I0B81CD66,265070,265090
I0B81CD66,268461,268481
I0B81CD66,272570,272756
I0B81CD66,272990,273042
I0B81CD66,273370,273705
I0B81CD66,274365,274389
I0B81CD66,274890,275079
I0B81CD66,275848,275895
I0B81CD66,276899,276926
I0B81CD66,278060,278150
I0B81CD66,278911,278940
I0B81CD66,279609,279879
I0B81CD66,280013,280028
I0B81CD66,281293,281329
I0B81CD66,281546,281823
I0B81CD66,281986,282028
I0B81CD66,282481,282655
I0B81CD66,283646,283679
I0B81CD66,284327,284360
I0B81CD66,284627,284665
I0B81CD66,285341,285368
I0B81CD66,285647,285754
I0B81CD66,285999,286015
I0B81CD66,286600,286889
I0B81CD66,287421,287459
I0B81CD66,287852,287915
I0B81CD66,289199,289219
I0B81CD66,290021,290096
I0B81CD66,290429,290664
I0B81CD66,290889,290926
I0B81CD66,291945,291983
I0B81CD66,292461,292619
I0B81CD66,292867,292973
I0B81CD66,293610,293658
I0B81CD66,295431,295506
I0B81CD66,295686,295843
I0B81CD66,296179,296222
I0B81CD66,296561,296600
I0B81CD66,297902,297948
I0B81CD66,298301,298518
I0B81CD66,299632,299689
I0B81CD66,300702,300744
I0B81CD66,301885,302191
I0B81CD66,302647,302810
I0B81CD66,303173,303209
I0B81CD66,303422,303455
I0B81CD66,303762,303782
I0B81CD66,304084,304243
I0B81CD66,304639,304674
I0B81CD66,305431,305530
I0B81CD66,306619,306643
I0B81CD66,307164,307283
I0B81CD66,308521,308547
I0B81CD66,309627,309654
I0B81CD66,310388,310409
I0B81CD66,311500,311520
I0B81CD66,312115,312520
I0B81CD66,313840,314010
I0B81CD66,314978,315036
I0B81CD66,315225,315328
I0B81CD66,315878,315915
I0B81CD66,317726,317753
I0B81CD66,318510,318574
I0B81CD66,318901,318915
I0B81CD66,320392,320724
I0B81CD66,321025,321178
I0B81CD66,321571,321608
I0B81CD66,322210,322453
I0B81CD66,323266,323390
I0B81CD66,324921,324955
I0B81CD66,325473,325505
I0B81CD66,326449,326481
I0B81CD66,327950,328088
I0B81CD66,328538,328614
I0B81CD66,329092,329116
I0B81CD66,329397,329499
I0B81CD66,330023,330068
I0B81CD66,330695,330998
I0B81CD66,332363,332398
I0B81CD66,332918,332954
I0B81CD66,333471,333502
I0B81CD66,340461,340477
I0B81CD66,340931,340955
I0B81CD66,341574,341700
I0B81CD66,342505,342535
I0B81CD66,343109,343138
I0FCFA88F,483,559
I0FCFA88F,561,586
I0FCFA88F,588,620
I0FCFA88F,622,648
I0FCFA88F,650,663
I0FCFA88F,665,677
I0FCFA88F,679,698
I0FCFA88F,700,738
I0FCFA88F,740,789
I0FCFA88F,791,825
I0FCFA88F,827,854
I0FCFA88F,855,872
I0FCFA88F,874,902
I0FCFA88F,904,927
I0FCFA88F,929,978
I0FCFA88F,980,1043
I0FCFA88F,1045,1102
I0FCFA88F,1104,1160
I0FCFA88F,1162,1223
I0FCFA88F,1225,1272
I0FCFA88F,1274,1299
I0FCFA88F,1301,1321
I0FCFA88F,1323,1344
I0FCFA88F,1346,1368
I0FCFA88F,1370,1392
I0FCFA88F,1394,1420
I0FCFA88F,1422,1447
I0FCFA88F,1449,1475
I0FCFA88F,1477,1509
I0FCFA88F,1511,1531
I0FCFA88F,1533,1548
I0FCFA88F,1550,1566
I0FCFA88F,1568,1587
I0FCFA88F,1589,1615
I0FCFA88F,1617,1637
I0FCFA88F,1639,1655
I0FCFA88F,1657,1677
I0FCFA88F,1679,1695
I0FCFA88F,1697,1710
I0FCFA88F,1712,1731
I0FCFA88F,1733,1752
I0FCFA88F,1754,1773
I0FCFA88F,1775,1795
I0FCFA88F,1797,1823
I0FCFA88F,1825,1847
I0FCFA88F,1849,1871
I0FCFA88F,1873,1910
I0FCFA88F,1912,1941
I0FCFA88F,1943,1975
I0FCFA88F,1977,2052
I0FCFA88F,2054,2103
I0FCFA88F,2105,2135
I0FCFA88F,2137,2166
I0FCFA88F,2168,2219
I0FCFA88F,2221,2280
I0FCFA88F,2282,2337
I0FCFA88F,2339,2398
I0FCFA88F,2400,2437
I0FCFA88F,2439,2477
I0FCFA88F,2479,2515
I0FCFA88F,2517,2546
I0FCFA88F,2548,2594
I0FCFA88F,2596,2641
I0FCFA88F,2643,2679
I0FCFA88F,2681,2714
I0FCFA88F,2716,2754
I0FCFA88F,2756,2797
I0FCFA88F,2799,2835
I0FCFA88F,2837,2876
I0FCFA88F,2878,2923
I0FCFA88F,2925,2942
I0FCFA88F,2944,2964
I0FCFA88F,2966,3037
I0FCFA88F,3039,3059
I0FCFA88F,3061,3082
I0FCFA88F,3084,3147
I0FCFA88F,3149,3191
I0FCFA88F,3193,3247
I0FCFA88F,3249,3298
I0FCFA88F,3300,3363
I0FCFA88F,3365,3434
I0FCFA88F,3436,3500
I0FCFA88F,3502,3556
I0FCFA88F,3558,3602
I0FCFA88F,3604,3631
I0FCFA88F,3633,3684
I0FCFA88F,3686,3701
I0FCFA88F,3703,3720
I0FCFA88F,3722,3773
I0FCFA88F,3775,3831
I0FCFA88F,3833,3866
I0FCFA88F,3868,3906
I0FCFA88F,3908,3938
I0FCFA88F,3940,3980
I0FCFA88F,3982,4030
I0FCFA88F,4032,4083
I0FCFA88F,4085,4130
I0FCFA88F,4132,4182
I0FCFA88F,4184,4222
I0FCFA88F,4224,4272
I0FCFA88F,4274,4322
I0FCFA88F,4324,4367
I0FCFA88F,4369,4400
I0FCFA88F,4402,4436
I0FCFA88F,4438,4465
I0FCFA88F,4467,4495
I0FCFA88F,4497,4542
I0FCFA88F,4544,4586
I0FCFA88F,4588,4630
I0FCFA88F,4632,4667
I0FCFA88F,4669,4708
I0FCFA88F,4710,4737
I0FCFA88F,4739,4756
I0FCFA88F,4758,4809
I0FCFA88F,4811,4833
I0FCFA88F,4835,4878
I0FCFA88F,4880,4918
I0FCFA88F,4920,4966
I0FCFA88F,4968,5008
I0FCFA88F,5010,5049
I0FCFA88F,5051,5089
I0FCFA88F,5091,5123
I0FCFA88F,5125,5164
I0FCFA88F,5166,5221
I0FCFA88F,5223,5257
I0FCFA88F,5259,5290
I0FCFA88F,5292,5326
I0FCFA88F,5328,5361
I0FCFA88F,5363,5394
I0FCFA88F,5396,5428
I0FCFA88F,5430,5463
I0FCFA88F,5465,5496
I0FCFA88F,5498,5530
I0FCFA88F,5532,5590
I0FCFA88F,5592,5639
I0FCFA88F,5641,5670
I0FCFA88F,5672,5690
I0FCFA88F,11739,12183
I0FCFA88F,16832,16866
I0FCFA88F,19514,19588
