pecha_id,split,source_batch,chars,n_gold
ICDC84458,test,new,674665,181
ID13E3867,train,new,483768,475
ID4AD2D0E,train,new,8919,46
ID5714205,train,new,465233,463
ID8FE83E3,train,new,729586,734
IDA8C4CE5,train,new,58743,23
IDAB254F1,train,new,189814,295
IDACD7FC0,train,new,12267,33
IDAD44BA2,train,new,19963,28
IDB6093E9,test,new,389471,154
IDBFF9DE3,train,new,398204,421
IDDA7F69E,train,new,533162,5
IDDB46142,train,new,4214,15
IE0AB7438,train,new,295963,79
IE166DA22,train,new,21584,108
IE1B4BBB9,train,new,92715,383
IE2421BEA,train,new,581305,570
IE5895799,test,new,247282,227
IE79CC998,train,new,18157,25
IE8EB4CB4,train,new,50913,15
IE9C4806D,train,new,16372,50
IEA9B747E,train,new,508071,283
IEAAE08E1,train,new,7249,8
IEB5D4BEB,train,new,289482,15
IEE67309C,train,new,222314,230
IEEB908B0,train,new,59149,14
IEEBAD11E,train,new,3592,13
IEEC9CCA9,train,new,8487,6
IEF3A4022,train,new,402148,272
IEFE24A29,train,new,12939,8
IF30A1358,train,new,61357,13
IF3ACC3E1,test,new,35731,45
IF428CDDB,train,new,414209,674
IF4C4BF01,train,new,385966,237
IF69FF8A7,train,new,70655,20
IF6B54962,train,new,10526,19
IF7A04537,train,new,234686,195
IF84B2E71,train,new,130583,124
IF85C9484,train,new,420489,337
IFA88A536,test,new,173506,254
IFC5AD8FD,train,new,157990,51
IFE0B60AA,train,new,34506,17
IFF541F44,train,new,208766,221
IFFA911F5,train,new,156768,63
P000012,train,old,269942,3
P000013,test,old,146342,44
P000015,train,old,111298,426
P000020,train,old,289013,20
P000021,train,old,268019,195
P000022,train,old,380072,61
P000024,train,old,349954,73
P000025,train,old,335262,185
P000026,train,old,38055,26
P000027,test,old,74767,52
P000028,val,old,546785,172
P000029,train,old,282867,156
P000030,train,old,761197,46
P000034,train,old,819268,280
P000036,train,old,526759,51
P000037,test,old,931698,161
P000042,train,old,188086,23
P000044,train,old,221545,250
P000046,train,old,250389,284
P000048,train,old,569375,55
P000051,train,old,558680,151
P000054,train,old,689458,236
P000055,train,old,303755,110
P000063,train,old,176001,158
P000066,train,old,47162,35
P000067,test,old,501704,382
P000068,train,old,560179,171
P000070,train,old,368106,105
P000071,val,old,237897,147
P000073,val,old,564330,56
P000074,train,old,663463,101
P000075,train,old,74786,20
P000078,train,old,842034,684
P000080,train,old,372493,182
P000081,train,old,473180,196
P000083,test,old,318034,225
P000084,val,old,152131,76
P000085,train,old,752850,248
P000087,train,old,694025,489
P000089,train,old,620370,165
P000090,train,old,255915,123
P000094,train,old,197515,41
P000096,train,old,58310,13
P000098,train,old,629352,38
P000099,train,old,238013,88
P000100,train,old,111176,22
P000101,train,old,684161,115
P000102,train,old,24301,10
P000103,train,old,139761,5
P000111,train,old,411816,499
P000112,train,old,385956,15
P000114,train,old,207201,36
P000115,train,old,717305,171
P000118,test,old,80775,42
P000119,train,old,596151,119
P000122,train,old,79820,25
P000123,train,old,403680,378
P000127,train,old,213073,25
P000128,train,old,118004,86
P000129,train,old,502945,213
P000132,train,old,157152,129
P000134,train,old,26537,9
P000135,train,old,71282,58
P000136,train,old,55472,15
P000140,train,old,654338,64
P000141,train,old,87122,48
P000144,test,old,247849,107
P000145,train,old,248948,109
P000151,train,old,507551,240
P000152,train,old,994635,4
P000153,train,old,166973,95
P000155,train,old,161248,75
P000157,train,old,445773,490
P000159,train,old,623271,146
P000160,train,old,874282,969
P000161,val,old,537718,345
P000162,train,old,194650,35
P000164,test,old,467097,313
P000167,train,old,10261,16
P000168,train,old,138792,18
P000169,train,old,692709,197
P000170,train,old,207518,70
P000171,train,old,931701,32
P000172,train,old,72237,152
P000173,train,old,115994,39
P000175,val,old,362606,334
P000177,train,old,288680,392
P000179,train,old,350528,170
P000180,train,old,307762,442
P000183,train,old,597116,9
P000185,train,old,143370,60
P000186,train,old,323606,74
P000187,train,old,15409,9
P000188,train,old,216193,3
P000189,train,old,24724,10
P000193,train,old,176415,20
P000194,train,old,19446,7
P000195,train,old,299336,207
P000197,train,old,216648,33
P000198,train,old,647176,160
P000199,train,old,702627,211
P000200,val,old,124473,16
P000201,train,old,17663,8
P000203,train,old,178374,150
P000207,train,old,278772,212
P000211,train,old,200688,53
P000213,train,old,153585,164
P000215,val,old,164993,23
P000216,train,old,200124,84
P000217,train,old,54308,14
P000218,train,old,847725,131
P000219,train,old,335434,44
P000224,train,old,788838,583
P000225,train,old,619695,45
P000227,train,old,452155,151
P000229,train,old,457311,261
P000230,train,old,361653,41
P000236,train,old,524770,108
P000237,val,old,148092,104
P000240,train,old,792151,58
P000241,train,old,512916,266
P000242,test,old,463558,261
P000245,train,old,442414,8
P000246,train,old,733082,233
P000247,test,old,66281,8
P000250,train,old,126461,160
P000251,train,old,33156,40
P000252,train,old,32389,26
P000253,train,old,74090,13
P000254,train,old,223408,109
P000259,train,old,137046,129
P000263,train,old,762363,430
P000269,test,old,314487,29
P000275,val,old,580644,14
